Id,Title,ProvidedBy,Rating,ReviewedBy,Difficulty,IsPaid,TotalEnrolled,CourseLink,Price
0,GRE 46 Hours Math Prep Target GRE 330 GRE,Jackson K,4.6,664,All Levels,1,3320,https://www.udemy.com/course/master-gre-math/,5120
1,English Vocabulary SAT GRE GMAT TOEFL,Don't Memorise,4.5,590,Beginner,1,2950,https://www.udemy.com/course/dontmemorise_vocabulary/,1600
2,GRE Complete Prep Math Verbal Writing,Gerald Richardson,4.2,282,All Levels,1,1410,https://www.udemy.com/course/subeezy-gre/,8640
3,GRE Probability,Math and Science Academy,4.8,13,Beginner,1,65,https://www.udemy.com/course/probability-gre/,8320
4,Master English Vocabulary TOEFL iBT TOEIC GRE,Lum Dalipi,4.4,179,All Levels,1,895,https://www.udemy.com/course/english-vocabulary-toefl-preparation/,2240
5,Master Work Time for GMAT GRE CAT Competitive exam,Ruchi Chhabra,4.3,21,All Levels,1,105,https://www.udemy.com/course/master-work-time-for-gmat-gre-cat-competitive-exam/,8640
6,GRE 46 Hours Math Prep Target GRE 330 ,Jackson K,4.6,664,All Levels,1,3320,https://www.udemy.com/course/master-gre-math/,5120
7,English Vocabulary SAT GRE GMAT TOEFL,Don't Memorise,4.5,590,Beginner,1,2950,https://www.udemy.com/course/dontmemorise_vocabulary/,1600
8,Master GRE Prep GMAT Prep Math through Animated Videos 2021,Devaki subbalakshmi,4.5,229,All Levels,1,1145,https://www.udemy.com/course/testprep24-maths-for-gre-gmat/,8640
9,GRE Comprehensive Quantitative Section 420 Questions,OMER YILDIRIM,4.5,5,Intermediate,1,25,https://www.udemy.com/course/gre-quantitative-section/,3840
10,Nova s GRE Verbal Prep Course,Jeff Kolby,3.8,26,All Levels,1,130,https://www.udemy.com/course/novas-gre-verbal-prep-course/,1280
11,TIME AND WORK A MASTERCLASS GMAT GRE SAT CAT IBPS,Kamarthi Karthik,4.1,46,All Levels,1,230,https://www.udemy.com/course/time-work-a-masterclass-gmat-gre-sat-cat-ibps-po/,8640
12,GRE Math Complete Algebra Geometry Probability More,Gerald Richardson,4.9,6,All Levels,1,30,https://www.udemy.com/course/subeezy-gre-math/,8640
13,GRE Prep Crack the Quantitative Reasoning Section,FACE Prep,2.8,7,All Levels,1,35,https://www.udemy.com/course/gre-prep-crack-the-quantitative-reasoning-section/,4480
14,Master Permutations Combinations Probability Basics,Ruchi Chhabra,4.3,34,All Levels,1,170,https://www.udemy.com/course/permutations-combinations-tricks-math-precalculus-course/,8640
15,Learn English Vocabulary with Pictures Examples Mnemonics,BST SIRI,3.2,6,All Levels,1,30,https://www.udemy.com/course/learn-english-vocabulary-with-pictures-examples-mnemonics/,2560
16,Boost your academic vocabulary in English 1,Adel Askari,4.2,58,All Levels,1,290,https://www.udemy.com/course/boost-your-academic-vocabulary-in-english-1/,2880
17,Combinatorics An Introduction,Math and Science Academy,4.5,27,Intermediate,1,135,https://www.udemy.com/course/combinatorics/,8320
18,Trigonometry Trigonometry a Precalculus to learn Calculus,Math Kishore Reddy,3.6,31,All Levels,1,155,https://www.udemy.com/course/trigonometrya-beginners-guide-to-high-school-students/,6400
19,Algebra for Calculus Trigonometry Geometry Physics Students,Math Kishore Reddy,2.9,24,All Levels,1,120,https://www.udemy.com/course/gcse-ib-math/,2560
20,GMAT GRE Math Permutations Combinations 18 000 students,Don't Memorise,4.5,2463,All Levels,0,12315,https://www.udemy.com/course/dontmemorise_permutations_combinations/,0
21,GMAT GRE Math Weighted Averages Mixtures and Alligations,Don't Memorise,4.6,415,All Levels,0,2075,https://www.udemy.com/course/averagesmixturesalligations/,0
22,Master the Square and Square Roots for GMAT CAT GRE SAT,Vinuthan S,4.8,21,All Levels,0,105,https://www.udemy.com/course/master-the-square-and-square-roots-for-gmat-cat-gre-sat/,0
23,GRE Verbal Reading Comprehension And Quant,Ishan Kumar,3.5,70,Intermediate,0,350,https://www.udemy.com/course/gre-verbal-reading-comprehension-and-quant/,0
24,Take a crack at learning GRE vocabulary,Elearning Folio,3.9,71,Intermediate,0,355,https://www.udemy.com/course/learn-gre-vocabulary/,0
25,The Complete Networking Fundamentals Course Your CCNA start,David Bombal,4.6,30546,Beginner,1,152730,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,1280
26,Cisco CCNA 200 301 Exam Complete Course with practical labs,David Bombal,4.7,19259,Beginner,1,96295,https://www.udemy.com/course/cisco-ccent-icnd1-100-105-complete-course-sims-and-gns3/,1280
27,Complete CCNA 200 301 Master Class,"Experts with David Bombal, Kevin Wallace Training, LLC, David Bombal",4.6,1105,Beginner,1,5525,https://www.udemy.com/course/complete-ccna-master-class/,1280
28,Cisco NEW CCNA R S 200 125 The Complete Course,Lazaro Diaz,4.3,4178,All Levels,1,20890,https://www.udemy.com/course/cisco-ccna-200-125-the-complete-course/,1280
29,GRE 46 Hours Math Prep Target GRE 330 ,Jackson K,4.6,664,All Levels,1,3320,https://www.udemy.com/course/master-gre-math/,5120
30,English Vocabulary SAT GRE GMAT TOEFL,Don't Memorise,4.5,590,Beginner,1,2950,https://www.udemy.com/course/dontmemorise_vocabulary/,1600
31,Master GRE Prep GMAT Prep Math through Animated Videos 2021,Devaki subbalakshmi,4.5,229,All Levels,1,1145,https://www.udemy.com/course/testprep24-maths-for-gre-gmat/,8640
